temperature,red,green,blue
0,255,0,0
5,255,0,0
10,255,0,0
15,255,0,0
20,255,0,0
25,255,0,0
30,255,0,0
35,255,0,0
40,255,0,0
45,255,0,0
50,255,0,0
55,255,0,0
60,255,0,0
65,255,0,0
70,255,0,0
75,255,0,0
80,255,0,0
85,255,0,0
90,255,0,0
95,255,0,0
100,255,0,0
105,255,0,0
110,255,0,0
115,255,0,0
120,255,0,0
125,255,0,0
130,255,0,0
135,255,0,0
140,255,0,0
145,255,0,0
150,255,0,0
155,255,0,0
160,255,0,0
165,255,0,0
170,255,0,0
175,255,0,0
180,255,0,0
185,255,0,0
190,255,0,0
195,255,0,0
200,255,0,0
205,255,0,0
210,255,0,0
215,255,0,0
220,255,0,0
225,255,0,0
230,255,0,0
235,255,0,0
240,255,0,0
245,255,0,0
250,255,0,0
255,255,0,0
260,255,0,0
265,255,0,0
270,255,0,0
275,255,0,0
280,255,0,0
285,255,0,0
290,255,0,0
295,255,0,0
300,255,0,0
305,255,0,0
310,255,0,0
315,255,0,0
320,255,0,0
325,255,0,0
330,255,0,0
335,255,0,0
340,255,0,0
345,255,0,0
350,255,0,0
355,255,0,0
360,255,0,0
365,255,0,0
370,255,0,0
375,255,0,0
380,255,0,0
385,255,0,0
390,255,0,0
395,255,0,0
400,255,0,0
405,255,0,0
410,255,0,0
415,255,0,0
420,255,0,0
425,255,0,0
430,255,0,0
435,255,0,0
440,255,0,0
445,255,0,0
450,255,0,0
455,255,0,0
460,255,0,0
465,255,0,0
470,255,0,0
475,255,0,0
480,255,0,0
485,255,0,0
490,255,0,0
495,255,0,0
500,255,0,0
505,255,0,0
510,255,0,0
515,255,0,0
520,255,0,0
525,255,0,0
530,255,0,0
535,255,0,0
540,255,0,0
545,255,0,0
550,255,0,0
555,255,0,0
560,255,0,0
565,255,0,0
570,255,0,0
575,255,0,0
580,255,0,0
585,255,0,0
590,255,0,0
595,255,0,0
600,255,0,0
605,255,0,0
610,255,0,0
615,255,0,0
620,255,0,0
625,255,0,0
630,255,0,0
635,255,0,0
640,255,0,0
645,255,0,0
650,255,0,0
655,255,0,0
660,255,0,0
665,255,0,0
670,255,3.624308541,0
675,255,12.15396442,0
680,255,17.46487364,0
685,255,21.56617987,0
690,255,25.00396453,0
695,255,28.00987413,0
700,255,30.70719516,0
705,255,33.17052014,0
710,255,35.44891959,0
715,255,37.57664576,0
720,255,39.5786907,0
725,255,41.47392866,0
730,255,43.27701192,0
735,255,44.99957474,0
740,255,46.65103058,0
745,255,48.23911842,0
750,255,49.77028835,0
755,255,51.24998043,0
760,255,52.68283087,0
765,255,54.0728273,0
770,255,55.42342772,0
775,255,56.73765292,0
780,255,58.01815921,0
785,255,59.26729649,0
790,255,60.48715494,0
795,255,61.67960302,0
800,255,62.84631866,0
805,255,63.98881503,0
810,255,65.10846211,0
815,255,66.20650468,0
820,255,67.28407761,0
825,255,68.34221881,0
830,255,69.38188029,0
835,255,70.40393769,0
840,255,71.4091985,0
845,255,72.39840914,0
850,255,73.37226121,0
855,255,74.33139688,0
860,255,75.27641364,0
865,255,76.20786851,0
870,255,77.12628174,0
875,255,78.03214008,0
880,255,78.92589968,0
885,255,79.80798874,0
890,255,80.67880982,0
895,255,81.53874188,0
900,255,82.38814222,0
905,255,83.22734814,0
910,255,84.05667846,0
915,255,84.87643492,0
920,255,85.6869034,0
925,255,86.4883551,0
930,255,87.28104753,0
935,255,88.0652255,0
940,255,88.84112195,0
945,255,89.60895874,0
950,255,90.36894742,0
955,255,91.12128981,0
960,255,91.8661787,0
965,255,92.60379836,0
970,255,93.33432507,0
975,255,94.05792762,0
980,255,94.77476771,0
985,255,95.4850004,0
990,255,96.18877449,0
995,255,96.88623284,0
1000,255,97.57751273,0
1005,255,98.26274616,0
1010,255,98.94206011,0
1015,255,99.61557685,0
1020,255,100.2834141,0
1025,255,100.9456855,0
1030,255,101.6025004,0
1035,255,102.2539645,0
1040,255,102.9001797,0
1045,255,103.5412446,0
1050,255,104.1772543,0
1055,255,104.808301,0
1060,255,105.4344737,0
1065,255,106.0558586,0
1070,255,106.6725391,0
1075,255,107.2845962,0
1080,255,107.8921081,0
1085,255,108.4951509,0
1090,255,109.0937983,0
1095,255,109.6881218,0
1100,255,110.2781908,0
1105,255,110.8640727,0
1110,255,111.4458331,0
1115,255,112.0235356,0
1120,255,112.5972421,0
1125,255,113.1670129,0
1130,255,113.7329065,0
1135,255,114.2949798,0
1140,255,114.8532885,0
1145,255,115.4078866,0
1150,255,115.9588266,0
1155,255,116.50616,0
1160,255,117.0499367,0
1165,255,117.5902056,0
1170,255,118.1270142,0
1175,255,118.6604089,0
1180,255,119.1904351,0
1185,255,119.7171369,0
1190,255,120.2405576,0
1195,255,120.7607393,0
1200,255,121.2777232,0
1205,255,121.7915497,0
1210,255,122.302258,0
1215,255,122.8098867,0
1220,255,123.3144734,0
1225,255,123.8160549,0
1230,255,124.3146672,0
1235,255,124.8103457,0
1240,255,125.3031247,0
1245,255,125.7930382,0
1250,255,126.2801191,0
1255,255,126.7644,0
1260,255,127.2459124,0
1265,255,127.7246876,0
1270,255,128.2007561,0
1275,255,128.6741476,0
1280,255,129.1448916,0
1285,255,129.6130168,0
1290,255,130.0785513,0
1295,255,130.5415228,0
1300,255,131.0019584,0
1305,255,131.4598848,0
1310,255,131.9153281,0
1315,255,132.3683139,0
1320,255,132.8188675,0
1325,255,133.2670135,0
1330,255,133.7127763,0
1335,255,134.1561798,0
1340,255,134.5972472,0
1345,255,135.0360019,0
1350,255,135.4724662,0
1355,255,135.9066626,0
1360,255,136.3386129,0
1365,255,136.7683386,0
1370,255,137.1958609,0
1375,255,137.6212005,0
1380,255,138.044378,0
1385,255,138.4654134,0
1390,255,138.8843266,0
1395,255,139.3011371,0
1400,255,139.715864,0.110503731
1405,255,140.1285263,1.160987216
1410,255,140.5391425,2.228156016
1415,255,140.947731,3.312008213
1420,255,141.3543097,4.412540803
1425,255,141.7588963,5.529749701
1430,255,142.1615085,6.663629757
1435,255,142.5621633,7.798903337
1440,255,142.9608777,8.863610491
1445,255,143.3576685,9.865195654
1450,255,143.7525521,10.81479966
1455,255,144.1455447,11.72074834
1460,255,144.5366623,12.58944663
1465,255,144.9259206,13.42593929
1470,255,145.3133353,14.2342784
1475,255,145.6989216,15.01777294
1480,255,146.0826946,15.77916361
1485,255,146.4646692,16.52074831
1490,255,146.84486,17.24447446
1495,255,147.2232817,17.95200804
1500,255,147.5999483,18.64478625
1505,255,147.9748741,19.32405824
1510,255,148.3480729,19.99091703
1515,255,148.7195584,20.64632487
1520,255,149.0893442,21.29113355
1525,255,149.4574436,21.92610091
1530,255,149.8238697,22.55190429
1535,255,150.1886357,23.16915168
1540,255,150.5517542,23.77839093
1545,255,150.9132381,24.38011751
1550,255,151.2730998,24.97478102
1555,255,151.6313516,25.56279068
1560,255,151.9880057,26.14452009
1565,255,152.3430742,26.7203112
1570,255,152.696569,27.29047786
1575,255,153.0485018,27.85530875
1580,255,153.3988842,28.41507002
1585,255,153.7477277,28.9700076
1590,255,154.0950435,29.52034913
1595,255,154.4408429,30.06630577
1600,255,154.7851369,30.6080737
1605,255,155.1279365,31.14583553
1610,255,155.4692523,31.67976148
1615,255,155.8090951,32.21001048
1620,255,156.1474754,32.73673113
1625,255,156.4844036,33.26006256
1630,255,156.81989,33.7801352
1635,255,157.1539448,34.29707151
1640,255,157.486578,34.81098654
1645,255,157.8177995,35.32198858
1650,255,158.1476192,35.83017961
1655,255,158.4760468,36.3356558
1660,255,158.803092,36.8385079
1665,255,159.1287641,37.33882168
1670,255,159.4530726,37.83667824
1675,255,159.7760268,38.33215433
1680,255,160.0976359,38.82532267
1685,255,160.417909,39.31625221
1690,255,160.736855,39.80500836
1695,255,161.0544828,40.29165325
1700,255,161.3708014,40.77624591
1705,255,161.6858192,41.25884248
1710,255,161.9995451,41.73949639
1715,255,162.3119874,42.21825851
1720,255,162.6231546,42.69517732
1725,255,162.9330551,43.17029906
1730,255,163.2416971,43.64366781
1735,255,163.5490888,44.11532568
1740,255,163.8552383,44.5853129
1745,255,164.1601535,45.05366787
1750,255,164.4638425,45.52042737
1755,255,164.7663129,45.98562654
1760,255,165.0675727,46.44929905
1765,255,165.3676295,46.91147711
1770,255,165.6664909,47.37219161
1775,255,165.9641644,47.83147215
1780,255,166.2606575,48.28934711
1785,255,166.5559775,48.74584374
1790,255,166.8501319,49.20098816
1795,255,167.1431277,49.65480548
1800,255,167.4349723,50.10731982
1805,255,167.7256726,50.55855435
1810,255,168.0152358,51.00853135
1815,255,168.3036688,51.45727224
1820,255,168.5909784,51.90479764
1825,255,168.8771716,52.35112739
1830,255,169.1622551,52.79628059
1835,255,169.4462355,53.24027565
1840,255,169.7291196,53.68313029
1845,255,170.010914,54.1248616
1850,255,170.291625,54.56548605
1855,255,170.5712593,55.00501953
1860,255,170.8498232,55.44347736
1865,255,171.127323,55.88087433
1870,255,171.403765,56.31722473
1875,255,171.6791554,56.75254233
1880,255,171.9535005,57.18684046
1885,255,172.2268063,57.62013198
1890,255,172.4990789,58.05242933
1895,255,172.7703243,58.48374453
1900,255,173.0405485,58.9140892
1905,255,173.3097572,59.34347459
1910,255,173.5779565,59.77191157
1915,255,173.8451521,60.19941068
1920,255,174.1113497,60.6259821
1925,255,174.376555,61.05163571
1930,255,174.6407737,61.47638106
1935,255,174.9040114,61.90022742
1940,255,175.1662735,62.32318374
1945,255,175.4275657,62.74525875
1950,255,175.6878934,63.16646085
1955,255,175.9472619,63.58679824
1960,255,176.2056767,64.00627884
1965,255,176.4631431,64.42491034
1970,255,176.7196662,64.84270022
1975,255,176.9752515,65.25965572
1980,255,177.2299039,65.67578389
1985,255,177.4836288,66.09109154
1990,255,177.7364311,66.50558533
1995,255,177.9883159,66.9192717
2000,255,178.2392883,67.33215692
2005,255,178.4893532,67.74424708
2010,255,178.7385156,68.15554811
2015,255,178.9867803,68.56606576
2020,255,179.2341522,68.97580563
2025,255,179.4806361,69.38477318
2030,255,179.7262368,69.7929737
2035,255,179.9709591,70.20041237
2040,255,180.2148075,70.6070942
2045,255,180.4577868,71.0130241
2050,255,180.6999017,71.41820681
2055,255,180.9411566,71.82264699
2060,255,181.1815562,72.22634917
2065,255,181.4211049,72.62931774
2070,255,181.6598073,73.03155701
2075,255,181.8976678,73.43307117
2080,255,182.1346908,73.8338643
2085,255,182.3708806,74.23394038
2090,255,182.6062417,74.63330332
2095,255,182.8407783,75.0319569
2100,255,183.0744947,75.42990483
2105,255,183.3073951,75.82715071
2110,255,183.5394838,76.2236981
2115,255,183.770765,76.61955043
2120,255,184.0012427,77.01471107
2125,255,184.2309212,77.40918332
2130,255,184.4598044,77.80297039
2135,255,184.6878965,78.19607544
2140,255,184.9152015,78.58850152
2145,255,185.1417233,78.98025167
2150,255,185.367466,79.37132881
2155,255,185.5924334,79.76173582
2160,255,185.8166295,80.15147553
2165,255,186.0400581,80.54055069
2170,255,186.2627232,80.92896401
2175,255,186.4846285,81.31671811
2180,255,186.7057778,81.70381561
2185,255,186.9261748,82.09025903
2190,255,187.1458234,82.47605086
2195,255,187.3647273,82.86119354
2200,255,187.58289,83.24568945
2205,255,187.8003154,83.62954095
2210,255,188.0170069,84.01275032
2215,255,188.2329683,84.39531983
2220,255,188.448203,84.77725169
2225,255,188.6627148,85.15854806
2230,255,188.876507,85.53921107
2235,255,189.0895831,85.91924283
2240,255,189.3019468,86.29864539
2245,255,189.5136014,86.67742076
2250,255,189.7245503,87.05557092
2255,255,189.9347971,87.43309784
2260,255,190.1443449,87.81000342
2265,255,190.3531973,88.18628955
2270,255,190.5613575,88.56195808
2275,255,190.7688289,88.93701083
2280,255,190.9756148,89.3114496
2285,255,191.1817184,89.68527615
2290,255,191.3871429,90.05849222
2295,255,191.5918917,90.43109952
2300,255,191.7959679,90.80309973
2305,255,191.9993746,91.1744945
2310,255,192.2021151,91.54528548
2315,255,192.4041925,91.91547427
2320,255,192.6056099,92.28506246
2325,255,192.8063704,92.65405161
2330,255,193.006477,93.02244327
2335,255,193.2059329,93.39023895
2340,255,193.404741,93.75744015
2345,255,193.6029045,94.12404836
2350,255,193.8004262,94.49006503
2355,255,193.9973091,94.8554916
2360,255,194.1935563,95.2203295
2365,255,194.3891705,95.58458013
2370,255,194.5841549,95.94824488
2375,255,194.7785122,96.31132512
